age,legacy_net_worth,stream_net_worth,diff_net_worth,legacy_debt,stream_debt,diff_debt,legacy_stock_investment,stream_stock_investment,diff_stock_investment,legacy_bond_investment,stream_bond_investment,diff_bond_investment,legacy_monthly_house_payment,stream_monthly_house_payment,diff_monthly_house_payment,legacy_savings,stream_savings,diff_savings
25,81000.0,81000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,81000.0,81000.0,0.0
26,184050.0,184050.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,184050.0,184050.0,0.0
27,310252.5,310252.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,310252.5,310252.5,0.0
28,460765.125,460765.125,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,460765.125,460765.125,0.0
29,636803.3812500003,636803.3812500003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,636803.3812500003,636803.3812500003,0.0
30,839643.5503125002,839643.5503125002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,839643.5503125002,839643.5503125002,0.0
31,1070625.7278281252,1070625.7278281252,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1070625.7278281252,1070625.7278281252,0.0
32,1331157.0142195325,1331157.0142195325,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1331157.0142195325,1331157.0142195325,0.0
33,1622714.8649305084,1622714.8649305084,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1622714.8649305084,1622714.8649305084,0.0
34,1946850.608177033,1946850.608177033,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1946850.608177033,1946850.608177033,0.0
35,2305193.138585885,2305193.138585885,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2305193.138585885,2305193.138585885,0.0
36,2699452.7955151806,2699452.7955151806,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2699452.7955151806,2699452.7955151806,0.0
37,3131425.435290939,3131425.435290939,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3131425.435290939,3131425.435290939,0.0
38,3602996.7070554877,3602996.7070554877,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3602996.7070554877,3602996.7070554877,0.0
39,4116146.5424082605,4116146.5424082605,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4116146.5424082605,4116146.5424082605,0.0
40,4672953.86952867,4672953.86952867,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4672953.86952867,4672953.86952867,0.0
